type_real_state,url,title,location_string,location_latitude,location_longitude,date_publication,state,deliver,coin,views,price,expenses,discount,description_sup,description,pictures,advertiser_name,advertiser_codes,feature_rooms,feature_unities,feature_stotal,feature_scover,feature_bath,feature_parking,feature_toilete,feature_antique,general_features_xml,location_tree
local comercial,https://www.plusvalia.com/propiedades/alquiler-de-local-comercial-en-kennedy-nueva-63156496.html,Alquiler de Local Comercial en Kennedy Nueva,none,none,none,24/1/2022,Alquiler,house_default,USD,0,3500.0,none,0,Local comercial · 200m² · 1 Estacionamiento,"Local comercial en Kennedy nueva, en av San jorge, 200 mts2 de área, 2 baños , bodega, instalación para centrales de aire, parqueo para 2 carros, remodelado hace 3 años. Precio $3500,00 mensuales.",https://img10.naventcdn.com/avisos/9/00/63/15/64/96/1200x1200/295609815.jpg|https://img10.naventcdn.com/avisos/9/00/63/15/64/96/1200x1200/295609814.jpg|https://img10.naventcdn.com/avisos/9/00/63/15/64/96/1200x1200/295609812.jpg|https://img10.naventcdn.com/avisos/9/00/63/15/64/96/1200x1200/295609811.jpg|https://img10.naventcdn.com/ficha/RPFICv5.54.3-RC3/images/isotipo-no-image.svg,ALEX MARTINEZ,Cód. del anunciante: 2HT3QG|Cód. Plusvalia: 63156496,none,none,200 m² Total,200 m² Cubierta,2 Baños,1 Estacionamiento,none,5 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Centros Comerciales Cercanos</content></general_feature><general_feature><title>Servicios</title><content>Parqueadero visitantes</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1</content></general_feature></general_features_xml>,Plusvalia->Local Comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Local Comercial en Kennedy Nueva
local comercial,https://www.plusvalia.com/propiedades/alquiler-de-local-comercial-en-mucho-lote-1-norte-de-63168411.html,"Alquiler de Local Comercial en Mucho Lote 1, Norte de Gye","R. Mucho lote, Norte de Guayaquil, Guayaquil",-2.0874208,-79.92369699999999,25/1/2022,Alquiler,house_default,USD,0,300.0,none,0,Local comercial · 30m²,"Alquiler de Local Comercial Esquinero|Ubicado en Mucho Lote 1 Etapa 3|Posee:|1 Baño, Puerta enrollable, Puertas de reja y Piso de cerámica||Forma de pago: 2 Cannon y 1 de garantía|Información de Contacto: Ver datos - Ver datos||TRAVI BIENES RAICES - REALTOR",https://img10.naventcdn.com/avisos/9/00/63/16/84/11/1200x1200/295811598.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/84/11/1200x1200/295811596.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/84/11/1200x1200/295811597.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/84/11/1200x1200/295811599.jpg|https://img10.naventcdn.com/avisos/9/00/63/16/84/11/1200x1200/295811602.jpg,Grupo Micasa,Cód. del anunciante: 2HTH3L|Cód. Plusvalia: 63168411|Lic Prof: CBR.189-G,none,none,none,30 m² Cubierta,1 Baño,none,none,12 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Av. acceso asfaltada</content></general_feature><general_feature><title>Servicios</title><content>Servicios básicos (agua/luz)</content></general_feature></general_features_xml>,"Plusvalia->Local Comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Local Comercial en Mucho Lote 1, Norte de Gye"
local comercial,https://www.plusvalia.com/propiedades/alquiler-de-local-comercial-en-parque-empresarial-61100229.html,Alquiler de Local Comercial en Parque Empresarial Colon,"Parque Empresarial Colon , Norte de Guayaquil, Guayaquil",-2.151218,-79.9064682,5/5/2021,Alquiler,house_default,USD,37,2200.0,+ USD 250 Condominio/Alícuota,0,Local comercial · 144m² · 1 Estacionamiento,Alquiler de un local comercial en Parque Empresarial Colon|144 metros útiles|Se incluyen divisiones|Aire acondicionado central|Baño|Cafetería|Melanina|Parqueo 1 vehículo|Alicuota $ 250|Valor de alquiler mensual US 2.200,https://img10.naventcdn.com/avisos/9/00/61/10/02/29/1200x1200/258247884.jpg|https://img10.naventcdn.com/avisos/9/00/61/10/02/29/1200x1200/258247881.jpg|https://img10.naventcdn.com/avisos/9/00/61/10/02/29/1200x1200/258247880.jpg|https://img10.naventcdn.com/avisos/9/00/61/10/02/29/1200x1200/258247882.jpg|https://img10.naventcdn.com/avisos/9/00/61/10/02/29/1200x1200/258247885.jpg,VERDESOTO BIENES,Cód. del anunciante: 2FCT49|Cód. Plusvalia: 61100229|Lic Prof: 364,none,none,144 m² Total,144 m² Cubierta,1 Baño,1 Estacionamiento,none,2 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 1</content></general_feature><general_feature><title>Servicios</title><content>Aire acondicionado|Guardianía/Seguridad privada|Parqueadero visitantes|Sistema de alarma de seguridad</content></general_feature></general_features_xml>,Plusvalia->Local Comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Local Comercial en Parque Empresarial Colon
local comercial,https://www.plusvalia.com/propiedades/alquiler-de-local-comercial-plaza-coronel-mucho-62295661.html,Alquiler de Local Comercial - Plaza Coronel - Mucho Lote,"Plaza Coronel, Mucho Lote, Norte de Guayaquil, Guayaquil",-2.0878685,-79.92494099999999,24/9/2021,Alquiler,house_default,USD,74,888.0,+ USD 121 Condominio/Alícuota,0,Local comercial · 40m² · 5 Estacionamientos,"Alquiler de local comercial en Plaza Coronel- Mucho Lote|Área de 40.40 m²|1 baño||-Centro Comercial con locales por estrenar, contamos con central de aire, amplios parqueos, y guardias las 24 horas, con seguridad contra incendio, contra humo.|-Cuenta con el uso de suelo comercial para cualquier actividad.|-SE ALQUILA LOCALES EN LA NUEVA PLAZA CORONEL EN AV. MANUEL IGNACIO GOMEZ SECTOR MUCHO LOTE 1|Contamos con 16 locales de 30 metros, 4 locales amplios esquineros y 1 local con bodega de 750 metros 18 oficinas de 28 metros , todo los locales y oficinas cuenta con central del aire, parqueo amplios, y guardias las 24 horas, con seguridad contra incendio, contra humo. Cuenta con el uso de suelo comercial para cualquier actividad.|Inauguramos desde el 1 de Junio del 2021, precios de acuerdo al mercado, se invita a conocer y saber más detalle en la obra.||#peluqueria #restaurante #Encebollado #CEVICHERIA #Ferreteria #Cangrejal #shawarma #Cafeteria #pastelería #spa #estetica #dentista #oficina #Guayaquil #samborondon #Bienesraicesecuador #Inmobiliariaecuador #ecuador|#inmobiliaria #Asesorinmobiliario",https://img10.naventcdn.com/avisos/resize/9/00/62/29/56/61/1200x1200/280404382.jpg|https://img10.naventcdn.com/avisos/resize/9/00/62/29/56/61/1200x1200/280404380.jpg|https://img10.naventcdn.com/avisos/resize/9/00/62/29/56/61/1200x1200/280404389.jpg|https://img10.naventcdn.com/avisos/resize/9/00/62/29/56/61/1200x1200/280404383.jpg|https://img10.naventcdn.com/avisos/resize/9/00/62/29/56/61/1200x1200/280404384.jpg,PORTIKA MANAGER SOLUCIONES INTEGRALES INMOBILIARIAS,Cód. del anunciante: 2GR7C1|Cód. Plusvalia: 62295661,none,none,40 m² Total,40 m² Cubierta,1 Baño,5 Estacionamientos,none,A estrenar,<general_features_xml><general_feature><title>Servicios</title><content>Aire acondicionado|Guardianía/Seguridad privada|Parqueadero visitantes|Iluminación|Sistema de alarma de seguridad|Seguridad contra incendios|Servicios básicos (agua/luz)</content></general_feature></general_features_xml>,Plusvalia->Local Comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Local Comercial - Plaza Coronel - Mucho Lote
local comercial,https://www.plusvalia.com/propiedades/alquiler-de-locales-comerciales-garzota-p.-marin-63188820.html,Alquiler de Locales Comerciales - Garzota - P. Marin,"Guillermo Pareja Rolando Frente CNT, Norte de Guayaquil, Guayaquil",-2.155782,-79.8914358,1/2/2022,Alquiler,house_default,USD,26,400.0,none,0,Local comercial · 12m² · 1 Habitación,ALQUILER DE LOCALES MODERNOS|valor $400|6 locales de 12 m2|cada uno con baño|Locales Modernos|Especiales para Consultorio Medico|Centros Médicos|Frente a Empresa Eléctrica|A Pocos metros del Supermaxi,https://img10.naventcdn.com/avisos/9/00/63/18/88/20/1200x1200/296157264.jpg|https://img10.naventcdn.com/avisos/9/00/63/18/88/20/1200x1200/296157263.jpg|https://img10.naventcdn.com/avisos/9/00/63/18/88/20/1200x1200/296157268.jpg|https://img10.naventcdn.com/avisos/9/00/63/18/88/20/1200x1200/296157267.jpg|https://img10.naventcdn.com/avisos/9/00/63/18/88/20/1200x1200/296157262.jpg,REMAX Golden Home,Cód. del anunciante: 2I09O0|Cód. Plusvalia: 63188820,1 Habitación,none,72 m² Total,12 m² Cubierta,1 Baño,none,none,A estrenar,<general_features_xml><general_feature><title>Características generales</title><content>Intercomunicador</content></general_feature><general_feature><title>Servicios</title><content>Guardianía/Seguridad privada|Parqueadero visitantes|Video vigilancia|Sistema de alarma de seguridad|Cisterna|Generador eléctrico|Servicios básicos (agua/luz)|page.posting.features.918</content></general_feature><general_feature><title>Ambientes</title><content>Bodega(s)|: 1|Estudio|page.posting.features.907|page.posting.features.911|page.posting.features.914</content></general_feature></general_features_xml>,Plusvalia->Local Comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Locales Comerciales - Garzota - P. Marin
oficina comercial,https://www.plusvalia.com/propiedades/alquiler-de-modernas-oficinas-atarazana-excelente-62466862.html,Alquiler de Modernas Oficinas - Atarazana Excelente Ubicación Desde $220,"Atarazana, Roberto Gilbert y Sufragio Libre, Norte de Guayaquil, Guayaquil",-2.1776474,-79.88356329999999,1/2/2022,Alquiler,house_default,USD,133,220.0,none,0,Oficina comercial · 35m² · 3 Habitaciones,"Alquiler de Magnificas oficinas con espacios amplios, ubicada en Av. Roberto Gilbert y Sufragio Libre, sector Hospital Alejandro Mann (Hospital del Niño).|Primer Piso, 2 Oficinas|Area: 70 m2 con Aire Acondicionado y 1 baño Valor del Alquiler: $550|Area: 30 m2 sin Aire Acondicionado y 1 baño Valor del Alquiler: $250|Segundo Piso: 2 Oficinas|Area: 40 m2 sin Aire Acondicionado y 1 baño Valor del Alquiler $220|Area: 35 m2 sin Aire Acondicionado y 1 baño Valor del Alquiler $220|En el precio se incluye servicio de agua",https://img10.naventcdn.com/avisos/9/00/62/46/68/62/1200x1200/283454041.jpg|https://img10.naventcdn.com/avisos/9/00/62/46/68/62/1200x1200/283454045.jpg|https://img10.naventcdn.com/avisos/9/00/62/46/68/62/1200x1200/283454052.jpg|https://img10.naventcdn.com/avisos/9/00/62/46/68/62/1200x1200/283454037.jpg|https://img10.naventcdn.com/avisos/9/00/62/46/68/62/1200x1200/283454047.jpg,PROSERVQUIL,Cód. del anunciante: 2H3HIM|Cód. Plusvalia: 62466862|Lic Prof: 127-G,3 Habitaciones,none,35 m² Total,35 m² Cubierta,1 Baño,none,none,6 Antigüedad,<general_features_xml></general_features_xml>,Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Modernas Oficinas - Atarazana Excelente Ubicación Desde $220
oficina comercial,https://www.plusvalia.com/propiedades/alquiler-de-oficina-amoblada-en-pacific-plaza-norte-60992156.html,"Alquiler de Oficina Amoblada en Pacific Plaza, Norte de Guayaquil","Pacific Plaza, Norte de Guayaquil, Guayaquil",-2.151715815868375,-79.90549346971439,5/11/2021,Alquiler,house_default,USD,38,1200.0,none,0,Oficina comercial · 90m² · 1 Estacionamiento,"Alquiler de oficina en Pacific Plaza, en Parque Empresarial Colon al Norte de Guayaquil, ubicado cerca de Centros comerciales como Mall del Sol, San Marino, City Mall, prestigiosos colegios y áreas comerciales.||La oficina consta de:|-Área de Construcción: 90 m²|-Aire acondicionado central|-Baños: 2|-Seguridad 24/7|-Parqueo: 1|-Sala de reunión: 1|-Cubículos: 8|-Áreas: Cafetería, recepción y reuniones|-Amoblado: Si|-Generador Eléctrico||Valor de alquiler amoblado: $1200 (incluye alícuota)|Valor de alquiler sin amoblar: $1000 (incluye alícuota)|Valor de alícuota: $135",https://img10.naventcdn.com/avisos/resize/9/00/60/99/21/56/1200x1200/255653895.jpg|https://img10.naventcdn.com/avisos/resize/9/00/60/99/21/56/1200x1200/255653890.jpg|https://img10.naventcdn.com/avisos/resize/9/00/60/99/21/56/1200x1200/255653894.jpg|https://img10.naventcdn.com/avisos/resize/9/00/60/99/21/56/1200x1200/255653898.jpg|https://img10.naventcdn.com/avisos/resize/9/00/60/99/21/56/1200x1200/255653899.jpg,PUERTO BIENES,Cód. del anunciante: 1004|Cód. Plusvalia: 60992156|Lic Prof: 143 - O,none,none,none,90 m² Cubierta,none,1 Estacionamiento,2 Medios Baños,3 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Amueblado/a</content></general_feature><general_feature><title>Servicios</title><content>Aire acondicionado|Guardianía/Seguridad privada|Sala de conferencia|Cortinas/Persianas|Tipo de aire|: Central</content></general_feature><general_feature><title>Ambientes</title><content>Area de cafetería</content></general_feature></general_features_xml>,"Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Oficina Amoblada en Pacific Plaza, Norte de Guayaquil"
oficina comercial,https://www.plusvalia.com/propiedades/alquiler-de-oficina-amoblada-en-plaza-center-62416868.html,Alquiler de Oficina Amoblada en Plaza Center,"Miguel H. Alcivar , Norte de Guayaquil, Guayaquil",-2.163721184815543,-79.89447320845947,11/10/2021,Alquiler,house_default,USD,38,650.0,+ USD 190 Condominio/Alícuota,0,Oficina comercial · 53m² · 1 Estacionamiento,Alquilo oficina amoblada en Plaza Center|53 metros|Baño|Divisiones|Parqueo|Alícuota $ 190|Valor US $650 + Iva,https://img10.naventcdn.com/avisos/9/00/62/41/68/68/1200x1200/282514995.jpg|https://img10.naventcdn.com/avisos/9/00/62/41/68/68/1200x1200/282514984.jpg|https://img10.naventcdn.com/avisos/9/00/62/41/68/68/1200x1200/282514991.jpg|https://img10.naventcdn.com/avisos/9/00/62/41/68/68/1200x1200/282514986.jpg|https://img10.naventcdn.com/avisos/9/00/62/41/68/68/1200x1200/282514992.jpg,VERDESOTO BIENES,Cód. del anunciante: 2H1M28|Cód. Plusvalia: 62416868|Lic Prof: 364,none,none,53 m² Total,53 m² Cubierta,1 Baño,1 Estacionamiento,none,10 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Amueblado/a|Ascensor(es)|: 1|Centros Comerciales Cercanos</content></general_feature><general_feature><title>Servicios</title><content>Aire acondicionado|Guardianía/Seguridad privada|Control de accesos|Video vigilancia|Sistema de alarma de seguridad|Cortinas/Persianas</content></general_feature></general_features_xml>,Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Oficina Amoblada en Plaza Center
oficina comercial,https://www.plusvalia.com/propiedades/alquiler-de-oficina-amoblada-parque-empresarial-62907367.html,Alquiler de Oficina Amoblada - Parque Empresarial Colon,"PARQUE EMPRESARIAL COLON, Norte de Guayaquil, Guayaquil",-2.15190876829108,-79.90646884247917,14/12/2021,Alquiler,house_default,USD,61,650.0,none,0,Oficina comercial · 35m² · 1 Estacionamiento,"Elegante oficina totalmente amoblada de 35m2, con una privilegiada ubicación, a pocos metros de la avenida Juan Tanca Marengo, Parque Empresarial Colón, un lugar con emblemáticos edificios corporativos y empresariales que cuenta con oficinas, locales comerciales y amplios parqueos, entre otras características importantes.||La oficina incluye:||- Área de recepción||- Área de cafetería||- 3 estaciones o puestos de trabajo||- Sala de reuniones||- Sala operativa para 2 personas||- 1 Baño||- 1 parqueadero subterráneo (tarjeta electrónica)||Valor de alícuota: $80 (inquilino cancela directamente en administración)||No incluye servicios básicos.||* Se solicitan 2 meses de garantía y 1 mes de adelanto.",https://img10.naventcdn.com/avisos/9/00/62/90/73/67/1200x1200/291269014.jpg|https://img10.naventcdn.com/avisos/9/00/62/90/73/67/1200x1200/291269012.jpg|https://img10.naventcdn.com/avisos/9/00/62/90/73/67/1200x1200/291269013.jpg|https://img10.naventcdn.com/avisos/9/00/62/90/73/67/1200x1200/291269010.jpg|https://img10.naventcdn.com/avisos/9/00/62/90/73/67/1200x1200/291269015.jpg,Re - Point Grupo Inmobiliario,Cód. del anunciante: 2HJR27|Cód. Plusvalia: 62907367,none,none,35 m² Total,35 m² Cubierta,none,1 Estacionamiento,1 Medio baño,5 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 1|Centros Comerciales Cercanos</content></general_feature><general_feature><title>Servicios</title><content>Aire acondicionado|Guardianía/Seguridad privada|Parqueadero visitantes|Sala de conferencia|Control de accesos</content></general_feature><general_feature><title>Ambientes</title><content>Sala comunal|page.posting.features.911</content></general_feature></general_features_xml>,Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Oficina Amoblada - Parque Empresarial Colon
oficina comercial,https://www.plusvalia.com/propiedades/alquiler-de-oficina-amoblada-samborondon-63197250.html,Alquiler de Oficina Amoblada - Samborondon,"Xima , Samborondón, Guayaquil",-2.1387427,-79.86570030000001,28/1/2022,Alquiler,house_default,USD,0,2800.0,+ USD 385 Condominio/Alícuota,0,Oficina comercial · 140m² · 3 Estacionamientos,"Oficina en alquiler en Edificio Xima|144 m2|Amoblada|2 baños|Tiene divisiones|Cafeteria equipada|3 cuviculos de oficinas independientes|+ de 10 módulos de trabajo|aire central incluido|3 parqueos|valor de alquiler $2800 + iva|+ alicuotas $385||El edificio ubicado en el sector del Centro Comercial Los Arcos, corazón del sector comercial de Samborondón, que reúne a negocios, empresas y profesionales de los diversos sectores comerciales, industriales y de servicios. Está implantado sobriamente y con la dotación apropiada de plazas de parqueo, áreas de circulación, equipamiento, y acabados a acordes con las empresas que albergará. Contempla 5 pisos de oficinas, 1 piso comercial y 3 niveles de parqueo; con salas de capacitación y reuniones, salón de directorio, amoblados y equipados con sistemas de audio y video, 120 oficinas, 8 locales comerciales en planta baja y mezzanine y bodegas; cafetería con acceso a terraza verde; y la infraestructura de circulación, servicios que incluye servicios generales y especiales, con énfasis en telecomunicaciones, y sistemas de seguridad.||Este emblemático proyecto corporativo, propone una arquitectura de vanguardia, expresión de equilibrio y sobriedad que constituirá un ícono contemporáneo en el desarrollo urbanístico local. Presenta un cuerpo definido con volúmenes entrelazados que dan movimiento a una fachada curva, acristalada, movimiento que se genera también al interior de un imponente lobby de ingreso con doble altura.||Todas las oficinas tienen carácter relevante al contar con fachadas que las dotan de suficiente aire y luz natural. El conjunto de oficinas cuenta con equipamiento de apoyo empresarial como son varias salas de reuniones, salas de estar wifi, comedores, café y centro de copiado, infraestructura de servicio, sistemas e ingenierías administradas bajo plataformas de última generación.",https://img10.naventcdn.com/avisos/resize/9/00/63/19/72/50/1200x1200/296301117.jpg|https://img10.naventcdn.com/avisos/resize/9/00/63/19/72/50/1200x1200/296301115.jpg|https://img10.naventcdn.com/avisos/resize/9/00/63/19/72/50/1200x1200/296301118.jpg|https://img10.naventcdn.com/avisos/resize/9/00/63/19/72/50/1200x1200/296301113.jpg|https://img10.naventcdn.com/avisos/resize/9/00/63/19/72/50/1200x1200/296301119.jpg,PORTIKA MANAGER SOLUCIONES INTEGRALES INMOBILIARIAS,Cód. del anunciante: X215|Cód. Plusvalia: 63197250,none,none,140 m² Total,140 m² Cubierta,2 Baños,3 Estacionamientos,none,4 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Amueblado/a|Ascensor(es)|: 1|Caseta de guardia|Centros Comerciales Cercanos|Escuelas Cercanas|Vista a la Ciudad|Recepción</content></general_feature><general_feature><title>Servicios</title><content>Aire acondicionado|Guardianía/Seguridad privada|Parqueadero visitantes|Sala de conferencia|Control de accesos|Video vigilancia|Sistema de alarma de seguridad|Generador eléctrico|Cortinas/Persianas|Servicios básicos (agua/luz)</content></general_feature><general_feature><title>Ambientes</title><content>Area de cafetería|Sala comunal|Auditorio|page.posting.features.909|page.posting.features.911</content></general_feature></general_features_xml>,Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Samborondón->Alquiler de Oficina Amoblada - Samborondon
oficina comercial,https://www.plusvalia.com/propiedades/alquiler-de-oficina-comercial-av-9-de-octubre-61096057.html,Alquiler de Oficina Comercial - Av 9 de Octubre,"Av. 9 de Octubre , Centro de Guayaquil, Guayaquil",-2.192642581713368,-79.87973802426758,5/1/2022,Alquiler,house_default,USD,53,500.0,+ USD 1 Condominio/Alícuota,0,Oficina comercial · 200m²,"Máster Inmobiliario alquila oficina ubicada en la Av. comercial 9 de Octubre, centro de Guayaquil||- 200 metros cuadrados|- 3er Piso|- 1 Ambiente|- Amplios ventanales|- Medio baño|- Incluye: Agua||PRECIO: $500,00 + IVA|CONDICIONES DE ARRENDAMIOENTO: 1 MES DE DEPÓSITO Y 1 MES DE ADELANTO||Para más información comuníquese con nosotros (VM/ JM)",https://img10.naventcdn.com/avisos/9/00/61/09/60/57/1200x1200/258085357.jpg|https://img10.naventcdn.com/avisos/9/00/61/09/60/57/1200x1200/258085352.jpg|https://img10.naventcdn.com/avisos/9/00/61/09/60/57/1200x1200/258085354.jpg|https://img10.naventcdn.com/avisos/9/00/61/09/60/57/1200x1200/258085355.jpg|https://img10.naventcdn.com/avisos/9/00/61/09/60/57/1200x1200/258085356.jpg,Máster Inmobiliario,Cód. del anunciante: 2FCOF7|Cód. Plusvalia: 61096057|Lic Prof: 007,none,none,200 m² Total,200 m² Cubierta,none,none,1 Medio baño,10 Antigüedad,<general_features_xml></general_features_xml>,Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Centro de Guayaquil->Alquiler de Oficina Comercial - Av 9 de Octubre
oficina comercial,https://www.plusvalia.com/propiedades/alquiler-de-oficina-de-40-m-sup2--en-edificio-agora-62946467.html,Alquiler de Oficina de 40 m² en Edificio Ágora (Frente Al Mall del Sol).,"Mall del sol, Norte de Guayaquil, Guayaquil",-2.151693817095613,-79.89265594389113,21/12/2021,Alquiler,house_default,USD,106,650.0,+ USD 100 Condominio/Alícuota,0,Oficina comercial · 40m² · 1 Estacionamiento,"Alquiler de oficina de 40m2 con excelente ubicación comercial Edificio Ágora (frente al Mall Del Sol, al lado del Hotel Sheraton).|Ubicado en la zona de mayor desarrollo en Guayaquil, en la que se encuentran emplazados Mall del Sol Shopping Center, los hoteles Howard Johnson y Sheraton Guayaquil, 100 Business Plaza, Plaza del Sol, Equilibrium, Professional Center, Torres del Sol I y II, Plaza Parking, OmniHospital y su Torre Médica 1; La Gran Manzana, que está formada por Trade Building, Elite Building, Sonesta Hotel & Shopping, La Guarda y Parqueos Plaza.|Valor: $750 incluido iva, alícuota y parqueo.",https://img10.naventcdn.com/avisos/9/00/62/94/64/67/1200x1200/292158501.jpg|https://img10.naventcdn.com/avisos/9/00/62/94/64/67/1200x1200/292158503.jpg|https://img10.naventcdn.com/avisos/9/00/62/94/64/67/1200x1200/292158504.jpg|https://img10.naventcdn.com/avisos/9/00/62/94/64/67/1200x1200/292158502.jpg|https://img10.naventcdn.com/ficha/RPFICv5.54.3-RC3/images/isotipo-no-image.svg,NAVA BIENES RAICES / CONSUL HOGAR,Cód. del anunciante: 2HLAFH|Cód. Plusvalia: 62946467,none,none,40 m² Total,40 m² Cubierta,none,1 Estacionamiento,1 Medio baño,3 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 1|Centros Comerciales Cercanos</content></general_feature><general_feature><title>Servicios</title><content>Aire acondicionado|Guardianía/Seguridad privada|Sala de conferencia|Espacio de co-working</content></general_feature></general_features_xml>,Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Oficina de 40 m² en Edificio Ágora (Frente Al Mall del Sol).
oficina comercial,https://www.plusvalia.com/propiedades/alquiler-de-oficina-en-city-office-58799726.html,Alquiler de Oficina en City Office,"City office, Norte de Guayaquil, Guayaquil",-2.143783577176241,-79.91044489621731,8/1/2022,Alquiler,house_default,USD,74,300.0,none,0,Oficina comercial · 35m² · 1 Habitación,"Hermosa oficina con ubicación estratégica||Junto a centro comerciales, en el norte de la ciudad de Guayaquil.||Cuenta con salas de reuniones y capacitación.||No incluye parqueo||Canon $300 más iva||más alicuota $71.05||*VISITA PREVIO AGENDAMIENTO DE CITA.||REQUISITOS:||LLENAR SOLICITUD DE ARRENDAMIENTO Y|ADJUNTAR REQUISITOS DETALLADOS EN EL ( DEL INQUILINO Y GARANTE)",https://img10.naventcdn.com/avisos/9/00/58/79/97/26/1200x1200/221051736.jpg|https://img10.naventcdn.com/avisos/9/00/58/79/97/26/1200x1200/219627342.jpg|https://img10.naventcdn.com/avisos/9/00/58/79/97/26/1200x1200/219627343.jpg|https://img10.naventcdn.com/ficha/RPFICv5.54.3-RC3/images/isotipo-no-image.svg|https://img10.naventcdn.com/ficha/RPFICv5.54.3-RC3/images/isotipo-no-image.svg,PROJECT HOMec,Cód. del anunciante: 2CHN0Q|Cód. Plusvalia: 58799726,1 Habitación,none,35 m² Total,35 m² Cubierta,none,none,none,5 Antigüedad,<general_features_xml><general_feature><title>Características generales</title><content>Ascensor(es)|: 1</content></general_feature><general_feature><title>Servicios</title><content>Aire acondicionado|Guardianía/Seguridad privada|Sala de conferencia|Control de accesos|Video vigilancia|Sistema de alarma de seguridad|Comedor</content></general_feature><general_feature><title>Ambientes</title><content>Area de cafetería|Sala comunal|Area de eventos</content></general_feature></general_features_xml>,Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Oficina en City Office
oficina comercial,https://www.plusvalia.com/propiedades/alquiler-de-oficina-en-edif.-trade-building-40-m-sup2-63086199.html,Alquiler de Oficina en Edif. Trade Building 40 m² (Anny),"EDIFICIO TRADE BUILDING, Norte de Guayaquil, Guayaquil",-2.155222964941824,-79.890632285229,14/1/2022,Alquiler,house_default,USD,18,740.0,none,0,Oficina comercial · 40m² · 1 Estacionamiento,"Se alquila oficina en excelente sector comercial, cerca de centros comerciales, hoteles, entidades bancarias, etc|.|El Edifico cuenta con guardianía y seguridad privada, sala de conferencia, control de accesos y más.||Oficina de un solo ambiente, con excelente vista del sector y cuenta con garaje.|En el valor de alquiler ya incluye la alícuota.",https://img10.naventcdn.com/avisos/9/00/63/08/61/99/1200x1200/294459551.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/61/99/1200x1200/294459552.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/61/99/1200x1200/294459550.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/61/99/1200x1200/294459543.jpg|https://img10.naventcdn.com/avisos/9/00/63/08/61/99/1200x1200/294459547.jpg,REMAX PREMIER,Cód. del anunciante: 2HQFN9|Cód. Plusvalia: 63086199,none,none,40 m² Total,40 m² Cubierta,none,1 Estacionamiento,none,12 Antigüedad,<general_features_xml><general_feature><title>Servicios</title><content>Guardianía/Seguridad privada</content></general_feature></general_features_xml>,Plusvalia->Oficina comercial->Alquilar->Guayas->Guayaquil->Norte de Guayaquil->Alquiler de Oficina en Edif. Trade Building 40 m² (Anny)
